*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max Temp (F)          -99      58       53       53       60       63       68       72       -99      -99      -99      
WSpd (knt)            -99      8        16       11       11       10       10       8        -99      -99      -99      
BI                    -99      17       8        17       22       23       23       21       -99      -99      -99      
ERC                   -99      17       1        9        14       18       19       20       -99      -99      -99      
IC                    -99      0        1        7        12       15       11       9        -99      -99      -99      
10-hr fuel (%)        -99      19       20       13       11       9        10       10       -99      -99      -99      
100-hr fuel (%)       -99      19       30       25       20       17       15       14       -99      -99      -99      
1000-hr fuel (%)      -99      19       24       24       24       23       23       23       -99      -99      -99      


*CEDARVILLE         181510  38.600  -76.800  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      100      80       77       83       97       -99      -99      -99      
Min Temp (F)          -99      52       53       44       43       45       48       52       -99      -99      -99      
Min RH (%)            -99      0        87       86       69       51       52       52       -99      -99      -99      
Max Temp (F)          -99      66       59       53       61       64       68       73       -99      -99      -99      
WSpd (knt)            -99      7        13       12       11       9        10       8        -99      -99      -99      
BI                    -99      16       4        16       19       19       21       18       -99      -99      -99      
ERC                   -99      17       1        7        12       15       17       17       -99      -99      -99      
IC                    -99      1        0        6        10       11       11       7        -99      -99      -99      
10-hr fuel (%)        -99      19       22       14       12       10       10       11       -99      -99      -99      
100-hr fuel (%)       -99      19       30       26       22       19       17       16       -99      -99      -99      
1000-hr fuel (%)      -99      19       24       24       24       24       23       23       -99      -99      -99      


*BLACKWATER NWR     182002  38.400  -76.000  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      90       100      89       83       77       77       90       -99      -99      -99      
Min Temp (F)          -99      54       57       48       45       47       49       54       -99      -99      -99      
Min RH (%)            -99      0        78       75       74       51       52       56       -99      -99      -99      
Max Temp (F)          -99      67       61       54       62       65       70       74       -99      -99      -99      
WSpd (knt)            -99      12       17       17       15       12       11       9        -99      -99      -99      
BI                    -99      27       17       12       18       20       21       18       -99      -99      -99      
ERC                   -99      21       6        3        8        12       14       14       -99      -99      -99      
