*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
10-hr fuel (%)        -99      6        6        3        3        3        5        5        -99      -99      -99      
100-hr fuel (%)       -99      14       12       9        7        6        6        6        -99      -99      -99      
1000-hr fuel (%)      -99      13       13       12       12       11       11       11       -99      -99      -99      


*SA02               162355  36.250  -99.010  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      68       36       55       78       73       -99      -99      -99      
Min Temp (F)          -99      44       52       64       65       66       67       67       -99      -99      -99      
Min RH (%)            -99      0        30       40       16       12       20       27       -99      -99      -99      
Max Temp (F)          -99      81       87       99       98       99       94       93       -99      -99      -99      
WSpd (knt)            -99      5        17       19       19       19       18       17       -99      -99      -99      
BI                    -99      34       61       84       87       89       80       77       -99      -99      -99      
ERC                   -99      41       43       52       56       59       57       59       -99      -99      -99      
IC                    -99      24       41       95       89       81       48       49       -99      -99      -99      
10-hr fuel (%)        -99      7        7        4        4        4        6        5        -99      -99      -99      
100-hr fuel (%)       -99      16       14       11       9        8        7        7        -99      -99      -99      
1000-hr fuel (%)      -99      14       14       13       13       12       12       12       -99      -99      -99      


*SA02               162363  36.250  -98.430  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      76       39       57       76       73       -99      -99      -99      
Min Temp (F)          -99      45       52       67       69       70       69       69       -99      -99      -99      
Min RH (%)            -99      0        42       46       20       15       23       28       -99      -99      -99      
Max Temp (F)          -99      79       86       99       99       100      96       95       -99      -99      -99      
WSpd (knt)            -99      3        17       16       20       20       18       17       -99      -99      -99      
BI                    -99      20       49       59       74       76       69       67       -99      -99      -99      
ERC                   -99      30       33       41       46       49       49       51       -99      -99      -99      
IC                    -99      13       32       70       79       65       45       44       -99      -99      -99      
10-hr fuel (%)        -99      9        9        5        4        5        6        6        -99      -99      -99      
100-hr fuel (%)       -99      19       17       14       11       9        8        8        -99      -99      -99      
1000-hr fuel (%)      -99      16       16       16       15       15       14       14       -99      -99      -99      


*SA02               169345  36.760  -99.740  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      97       57       29       39       75       70       -99      -99      -99      
Min Temp (F)          -99      43       53       62       65       65       66       67       -99      -99      -99      
Min RH (%)            -99      0        25       35       14       10       15       26       -99      -99      -99      
Max Temp (F)          -99      83       88       97       97       98       94       91       -99      -99      -99      
WSpd (knt)            -99      8        18       19       21       20       18       17       -99      -99      -99      
BI                    -99      44       74       92       99       104      87       83       -99      -99      -99      
ERC                   -99      47       49       58       62       66       64       65       -99      -99      -99      
IC                    -99      34       52       99       96       98       52       48       -99      -99      -99      
10-hr fuel (%)        -99      6        7        4        3        3        5        5        -99      -99      -99      
100-hr fuel (%)       -99      15       13       10       8        6        6        6        -99      -99      -99      
1000-hr fuel (%)      -99      13       13       12       12       11       11       11       -99      -99      -99      


*SA02               169355  36.760  -99.010  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      70       36       55       81       73       -99      -99      -99      
Min Temp (F)          -99      43       50       63       65       65       67       67       -99      -99      -99      
Min RH (%)            -99      0        35       40       16       11       18       25       -99      -99      -99      
Max Temp (F)          -99      80       87       99       99       100      96       93       -99      -99      -99      
WSpd (knt)            -99      7        18       21       21       21       19       18       -99      -99      -99      
BI                    -99      33       61       81       85       88       80       79       -99      -99      -99      
ERC                   -99      37       39       48       52       56       55       57       -99      -99      -99      
IC                    -99      24       44       95       92       87       53       51       -99      -99      -99      
10-hr fuel (%)        -99      8        8        4        4        4        6        5        -99      -99      -99      
100-hr fuel (%)       -99      17       15       12       9        8        7        7        -99      -99      -99      
1000-hr fuel (%)      -99      15       15       14       14       13       13       13       -99      -99      -99      


*SA02               169363  36.760  -98.430  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      84       42       59       81       78       -99      -99      -99      
Min Temp (F)          -99      44       50       67       67       68       68       67       -99      -99      -99      
Min RH (%)            -99      0        43       46       22       15       21       27       -99      -99      -99      
Max Temp (F)          -99      77       85       99       99       101      97       95       -99      -99      -99      
WSpd (knt)            -99      5        17       17       18       19       17       15       -99      -99      -99      
BI                    -99      26       50       62       71       77       66       63       -99      -99      -99      
ERC                   -99      30       34       41       46       50       50       51       -99      -99      -99      
IC                    -99      13       34       73       74       74       45       42       -99      -99      -99      
10-hr fuel (%)        -99      10       8        5        4        4        6        6        -99      -99      -99      
100-hr fuel (%)       -99      20       17       14       11       9        9        8        -99      -99      -99      
1000-hr fuel (%)      -99      16       16       15       15       14       14       14       -99      -99      -99      


*SA03               133371  34.150  -97.840  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      94       78       76       82       84       81       -99      -99      -99      
Min Temp (F)          -99      50       58       70       71       71       69       68       -99      -99      -99      
Min RH (%)            -99      0        41       45       29       30       39       36       -99      -99      -99      
Max Temp (F)          -99      81       90       99       98       95       94       95       -99      -99      -99      
WSpd (knt)            -99      5        14       17       16       19       14       14       -99      -99      -99      
BI                    -99      29       47       61       59       66       54       57       -99      -99      -99      
ERC                   -99      36       38       43       45       45       46       48       -99      -99      -99      
IC                    -99      19       30       58       45       37       30       35       -99      -99      -99      
10-hr fuel (%)        -99      8        8        5        6        7        7        7        -99      -99      -99      
100-hr fuel (%)       -99      15       14       12       10       10       10       9        -99      -99      -99      
1000-hr fuel (%)      -99      16       16       15       15       14       14       14       -99      -99      -99      


*SA03               133379  34.150  -97.260  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      93       94       81       79       85       84       81       -99      -99      -99      
Min Temp (F)          -99      51       58       70       71       71       69       68       -99      -99      -99      
Min RH (%)            -99      0        42       50       35       35       43       37       -99      -99      -99      
Max Temp (F)          -99      79       88       95       96       93       93       93       -99      -99      -99      
WSpd (knt)            -99      3        14       17       16       17       12       11       -99      -99      -99      
BI                    -99      20       42       54       52       54       47       47       -99      -99      -99      
ERC                   -99      32       34       38       40       40       42       44       -99      -99      -99      
IC                    -99      13       26       45       35       28       26       27       -99      -99      -99      
10-hr fuel (%)        -99      8        9        6        7        8        8        7        -99      -99      -99      
100-hr fuel (%)       -99      17       15       13       12       11       11       10       -99      -99      -99      
1000-hr fuel (%)      -99      17       17       16       16       15       15       15       -99      -99      -99      


*SA03               133385  34.150  -96.830  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       90       78       71       77       79       79       -99      -99      -99      
Min Temp (F)          -99      51       58       71       73       73       70       69       -99      -99      -99      
Min RH (%)            -99      0        39       48       36       37       39       35       -99      -99      -99      
Max Temp (F)          -99      80       88       94       95       94       94       93       -99      -99      -99      
WSpd (knt)            -99      4        11       17       17       15       11       10       -99      -99      -99      
BI                    -99      21       34       47       48       45       41       39       -99      -99      -99      
ERC                   -99      26       28       33       35       36       38       40       -99      -99      -99      
IC                    -99      15       23       40       34       28       26       25       -99      -99      -99      
10-hr fuel (%)        -99      8        8        7        7        7        7        7        -99      -99      -99      
100-hr fuel (%)       -99      18       15       13       12       11       10       10       -99      -99      -99      
1000-hr fuel (%)      -99      19       19       18       18       17       17       16       -99      -99      -99      


*SA03               138371  34.510  -97.840  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       93       76       73       82       81       79       -99      -99      -99      
Min Temp (F)          -99      49       57       69       70       70       69       68       -99      -99      -99      
Min RH (%)            -99      0        43       50       33       31       42       40       -99      -99      -99      
Max Temp (F)          -99      79       87       96       96       93       91       92       -99      -99      -99      
WSpd (knt)            -99      4        15       17       18       19       15       14       -99      -99      -99      
BI                    -99      26       47       60       64       64       55       54       -99      -99      -99      
ERC                   -99      35       36       42       44       44       45       47       -99      -99      -99      
IC                    -99      16       28       53       47       33       27       29       -99      -99      -99      
10-hr fuel (%)        -99      8        8        6        6        8        8        7        -99      -99      -99      
100-hr fuel (%)       -99      16       15       13       11       10       10       10       -99      -99      -99      
1000-hr fuel (%)      -99      16       16       15       15       15       14       14       -99      -99      -99      


*SA03               138379  34.510  -97.260  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      90       90       78       74       79       84       79       -99      -99      -99      
Min Temp (F)          -99      51       58       71       72       72       69       69       -99      -99      -99      
Min RH (%)            -99      0        47       51       37       39       46       40       -99      -99      -99      
Max Temp (F)          -99      78       87       94       95       92       92       92       -99      -99      -99      
WSpd (knt)            -99      4        13       16       16       17       13       12       -99      -99      -99      
BI                    -99      23       42       51       52       53       49       49       -99      -99      -99      
ERC                   -99      31       33       38       39       40       41       44       -99      -99      -99      
IC                    -99      14       26       41       34       25       25       28       -99      -99      -99      
10-hr fuel (%)        -99      9        9        7        7        9        8        7        -99      -99      -99      
100-hr fuel (%)       -99      18       16       13       12       11       11       10       -99      -99      -99      
1000-hr fuel (%)      -99      17       17       16       16       15       15       15       -99      -99      -99      


*SA03               138383  34.510  -96.970  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       93       87       79       82       84       81       -99      -99      -99      
Min Temp (F)          -99      49       57       69       71       72       69       68       -99      -99      -99      
Min RH (%)            -99      0        47       53       41       40       48       40       -99      -99      -99      
Max Temp (F)          -99      78       86       93       94       92       92       92       -99      -99      -99      
WSpd (knt)            -99      5        14       17       16       18       13       13       -99      -99      -99      
BI                    -99      24       39       48       47       53       46       48       -99      -99      -99      
ERC                   -99      28       30       34       35       36       38       40       -99      -99      -99      
IC                    -99      15       24       38       31       28       25       27       -99      -99      -99      
10-hr fuel (%)        -99      9        9        7        8        9        8        8        -99      -99      -99      
100-hr fuel (%)       -99      18       16       15       13       12       12       11       -99      -99      -99      
1000-hr fuel (%)      -99      18       18       17       17       16       16       16       -99      -99      -99      


*SA03               146371  35.090  -97.840  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      81       71       79       87       81       -99      -99      -99      
Min Temp (F)          -99      46       54       69       68       70       67       67       -99      -99      -99      
Min RH (%)            -99      0        50       55       36       33       46       42       -99      -99      -99      
Max Temp (F)          -99      76       85       94       94       92       91       90       -99      -99      -99      
WSpd (knt)            -99      3        15       19       18       21       17       15       -99      -99      -99      
BI                    -99      17       37       53       52       54       48       47       -99      -99      -99      
ERC                   -99      24       26       32       34       35       36       38       -99      -99      -99      
IC                    -99      10       24       51       39       29       25       25       -99      -99      -99      
10-hr fuel (%)        -99      10       9        7        7        8        8        8        -99      -99      -99      
100-hr fuel (%)       -99      20       18       15       13       12       12       11       -99      -99      -99      
1000-hr fuel (%)      -99      19       18       18       18       17       17       16       -99      -99      -99      


*SA03               146379  35.090  -97.260  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      93       97       84       74       82       81       81       -99      -99      -99      
Min Temp (F)          -99      48       55       69       70       71       69       68       -99      -99      -99      
Min RH (%)            -99      0        52       55       40       41       49       44       -99      -99      -99      
Max Temp (F)          -99      76       84       93       92       91       90       89       -99      -99      -99      
WSpd (knt)            -99      4        14       19       17       19       15       14       -99      -99      -99      
BI                    -99      20       36       51       47       51       44       44       -99      -99      -99      
ERC                   -99      24       27       31       33       34       36       37       -99      -99      -99      
IC                    -99      12       22       43       30       25       22       22       -99      -99      -99      
10-hr fuel (%)        -99      10       9        7        8        9        9        8        -99      -99      -99      
100-hr fuel (%)       -99      20       18       15       13       12       12       11       -99      -99      -99      
1000-hr fuel (%)      -99      19       18       18       18       17       17       16       -99      -99      -99      


*SA03               146385  35.090  -96.830  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      97       87       79       82       84       81       -99      -99      -99      
Min Temp (F)          -99      48       54       69       70       71       69       68       -99      -99      -99      
Min RH (%)            -99      0        50       54       44       44       48       41       -99      -99      -99      
Max Temp (F)          -99      75       83       91       91       91       91       89       -99      -99      -99      
WSpd (knt)            -99      5        13       17       17       18       13       13       -99      -99      -99      
BI                    -99      20       33       42       43       47       41       42       -99      -99      -99      
ERC                   -99      22       24       28       30       31       34       35       -99      -99      -99      
IC                    -99      12       22       34       28       26       24       21       -99      -99      -99      
10-hr fuel (%)        -99      10       10       8        8        9        8        8        -99      -99      -99      
100-hr fuel (%)       -99      20       18       16       14       13       12       11       -99      -99      -99      
1000-hr fuel (%)      -99      20       19       19       19       18       18       17       -99      -99      -99      


*SA03               154371  35.670  -97.840  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      81       59       71       81       73       -99      -99      -99      
Min Temp (F)          -99      46       54       69       70       71       69       69       -99      -99      -99      
Min RH (%)            -99      0        52       55       34       28       39       41       -99      -99      -99      
Max Temp (F)          -99      76       84       95       95       95       92       92       -99      -99      -99      
WSpd (knt)            -99      3        16       20       19       22       18       17       -99      -99      -99      
BI                    -99      17       41       59       59       62       57       56       -99      -99      -99      
ERC                   -99      26       28       35       38       39       40       42       -99      -99      -99      
IC                    -99      10       24       60       50       38       30       32       -99      -99      -99      
10-hr fuel (%)        -99      10       10       6        6        7        8        7        -99      -99      -99      
100-hr fuel (%)       -99      20       18       15       12       11       11       10       -99      -99      -99      
1000-hr fuel (%)      -99      18       18       17       17       16       16       15       -99      -99      -99      


*SA03               154379  35.670  -97.260  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      93       97       81       71       76       81       79       -99      -99      -99      
Min Temp (F)          -99      48       54       70       70       72       70       69       -99      -99      -99      
Min RH (%)            -99      0        53       56       41       39       46       45       -99      -99      -99      
Max Temp (F)          -99      76       84       94       94       93       91       91       -99      -99      -99      
WSpd (knt)            -99      4        15       19       18       19       16       16       -99      -99      -99      
BI                    -99      19       36       51       50       52       46       49       -99      -99      -99      
ERC                   -99      23       25       31       33       34       36       38       -99      -99      -99      
IC                    -99      11       22       44       36       30       24       28       -99      -99      -99      
10-hr fuel (%)        -99      10       10       7        8        8        8        8        -99      -99      -99      
100-hr fuel (%)       -99      21       19       16       14       12       12       11       -99      -99      -99      
1000-hr fuel (%)      -99      19       18       18       18       17       17       16       -99      -99      -99      


*SA03               154385  35.670  -96.830  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      97       84       74       82       84       81       -99      -99      -99      
Min Temp (F)          -99      48       53       69       70       71       69       68       -99      -99      -99      
Min RH (%)            -99      0        53       54       44       42       46       42       -99      -99      -99      
Max Temp (F)          -99      74       82       91       92       92       91       89       -99      -99      -99      
WSpd (knt)            -99      5        13       17       17       18       13       13       -99      -99      -99      
BI                    -99      19       32       42       43       48       41       42       -99      -99      -99      
ERC                   -99      20       23       28       30       32       34       35       -99      -99      -99      
IC                    -99      11       20       34       30       27       23       22       -99      -99      -99      
10-hr fuel (%)        -99      11       10       8        8        8        8        8        -99      -99      -99      
100-hr fuel (%)       -99      22       19       16       14       13       12       12       -99      -99      -99      
1000-hr fuel (%)      -99      20       19       19       19       18       18       17       -99      -99      -99      


*SA03               162371  36.250  -97.840  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      87       59       71       84       73       -99      -99      -99      
Min Temp (F)          -99      45       52       68       68       70       68       69       -99      -99      -99      
Min RH (%)            -99      0        53       58       33       25       33       39       -99      -99      -99      
Max Temp (F)          -99      75       83       96       97       97       94       92       -99      -99      -99      
WSpd (knt)            -99      3        17       18       20       22       18       17       -99      -99      -99      
BI                    -99      17       42       56       63       65       58       56       -99      -99      -99      
ERC                   -99      26       28       35       39       41       40       43       -99      -99      -99      
IC                    -99      9        24       58       57       47       31       32       -99      -99      -99      
10-hr fuel (%)        -99      10       10       6        6        7        8        7        -99      -99      -99      
100-hr fuel (%)       -99      21       19       16       13       11       11       10       -99      -99      -99      
1000-hr fuel (%)      -99      17       17       17       16       16       16       15       -99      -99      -99      


*SA03               162379  36.250  -97.260  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       84       68       71       81       76       -99      -99      -99      
Min Temp (F)          -99      48       53       69       70       72       69       69       -99      -99      -99      
Min RH (%)            -99      0        59       58       42       33       43       44       -99      -99      -99      
Max Temp (F)          -99      73       81       93       94       93       91       90       -99      -99      -99      
WSpd (knt)            -99      4        17       20       19       22       18       16       -99      -99      -99      
BI                    -99      17       36       49       50       54       50       47       -99      -99      -99      
ERC                   -99      19       22       28       31       33       34       36       -99      -99      -99      
IC                    -99      9        22       47       40       33       26       26       -99      -99      -99      
10-hr fuel (%)        -99      11       10       7        7        8        8        8        -99      -99      -99      
100-hr fuel (%)       -99      22       20       16       14       12       12       11       -99      -99      -99      
1000-hr fuel (%)      -99      20       19       19       18       18       18       17       -99      -99      -99      


*SA03               162391  36.250  -96.390  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      97       97       81       74       77       84       82       -99      -99      -99      
Min Temp (F)          -99      51       54       69       72       73       71       70       -99      -99      -99      
Min RH (%)            -99      0        53       49       44       42       46       45       -99      -99      -99      
Max Temp (F)          -99      73       82       90       92       92       90       89       -99      -99      -99      
WSpd (knt)            -99      5        12       16       17       19       18       13       -99      -99      -99      
BI                    -99      17       29       38       41       47       47       40       -99      -99      -99      
ERC                   -99      18       21       25       28       30       31       33       -99      -99      -99      
IC                    -99      8        19       30       30       26       25       22       -99      -99      -99      
10-hr fuel (%)        -99      12       10       8        8        9        9        8        -99      -99      -99      
100-hr fuel (%)       -99      22       19       17       14       13       12       12       -99      -99      -99      
1000-hr fuel (%)      -99      21       20       20       19       19       18       18       -99      -99      -99      


*SA03               169371  36.760  -97.840  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      87       51       66       81       76       -99      -99      -99      
Min Temp (F)          -99      46       53       68       69       70       69       69       -99      -99      -99      
Min RH (%)            -99      0        53       54       31       21       28       35       -99      -99      -99      
Max Temp (F)          -99      74       82       96       98       99       95       93       -99      -99      -99      
WSpd (knt)            -99      3        16       17       18       18       16       15       -99      -99      -99      
BI                    -99      18       42       54       62       65       55       55       -99      -99      -99      
ERC                   -99      27       29       36       41       44       43       45       -99      -99      -99      
IC                    -99      9        20       55       58       55       31       33       -99      -99      -99      
10-hr fuel (%)        -99      10       10       6        6        6        7        7        -99      -99      -99      
100-hr fuel (%)       -99      20       18       15       12       10       10       10       -99      -99      -99      
1000-hr fuel (%)      -99      17       17       16       16       15       15       15       -99      -99      -99      


*SA03               169379  36.760  -97.260  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      93       62       74       81       81       -99      -99      -99      
Min Temp (F)          -99      48       53       67       70       71       69       68       -99      -99      -99      
Min RH (%)            -99      0        57       56       38       29       37       39       -99      -99      -99      
Max Temp (F)          -99      74       81       94       96       96       94       92       -99      -99      -99      
WSpd (knt)            -99      3        16       18       19       21       17       17       -99      -99      -99      
BI                    -99      15       36       49       55       57       50       52       -99      -99      -99      
ERC                   -99      22       24       30       34       36       37       39       -99      -99      -99      
IC                    -99      8        19       49       50       41       28       31       -99      -99      -99      
10-hr fuel (%)        -99      11       11       7        6        7        8        7        -99      -99      -99      
100-hr fuel (%)       -99      22       19       16       14       12       11       11       -99      -99      -99      
1000-hr fuel (%)      -99      19       19       18       18       17       17       16       -99      -99      -99      


*SA03               169391  36.760  -96.390  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      100      100      87       73       76       84       81       -99      -99      -99      
Min Temp (F)          -99      50       51       66       70       71       69       68       -99      -99      -99      
Min RH (%)            -99      0        57       52       42       38       43       42       -99      -99      -99      
Max Temp (F)          -99      71       80       91       93       93       91       90       -99      -99      -99      
WSpd (knt)            -99      7        15       18       19       19       20       14       -99      -99      -99      
BI                    -99      18       31       41       46       47       50       41       -99      -99      -99      
ERC                   -99      16       20       25       28       30       31       33       -99      -99      -99      
IC                    -99      9        19       35       36       28       28       24       -99      -99      -99      
10-hr fuel (%)        -99      12       10       8        8        8        9        8        -99      -99      -99      
100-hr fuel (%)       -99      23       20       17       15       13       12       12       -99      -99      -99      
1000-hr fuel (%)      -99      21       20       20       20       19       19       18       -99      -99      -99      


*SA04               120303  33.200  -102.790 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      33       22       17       22       41       90       84       -99      -99      -99      
Min Temp (F)          -99      50       54       60       61       59       61       60       -99      -99      -99      
Min RH (%)            -99      0        5        4        4        5        12       22       -99      -99      -99      
Max Temp (F)          -99      93       99       96       95       97       94       93       -99      -99      -99      
WSpd (knt)            -99      12       17       18       18       15       19       16       -99      -99      -99      
BI                    -99      97       119      132      129      108      113      101      -99      -99      -99      
ERC                   -99      83       88       92       94       95       90       91       -99      -99      -99      
IC                    -99      88       100      100      100      92       62       63       -99      -99      -99      
10-hr fuel (%)        -99      2        1        1        1        2        4        4        -99      -99      -99      
100-hr fuel (%)       -99      7        5        3        3        2        3        3        -99      -99      -99      
1000-hr fuel (%)      -99      8        7        7        7        6        6        6        -99      -99      -99      


*SA04               120314  33.200  -101.990 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      40       39       18       20       59       87       75       -99      -99      -99      
Min Temp (F)          -99      51       55       62       64       63       64       64       -99      -99      -99      
Min RH (%)            -99      0        6        4        4        5        19       25       -99      -99      -99      
Max Temp (F)          -99      94       101      98       97       97       94       93       -99      -99      -99      
WSpd (knt)            -99      13       17       19       18       15       20       18       -99      -99      -99      
BI                    -99      101      119      135      128      102      112      109      -99      -99      -99      
ERC                   -99      82       88       91       93       93       88       89       -99      -99      -99      
IC                    -99      91       100      100      100      73       56       62       -99      -99      -99      
10-hr fuel (%)        -99      2        2        1        2        3        5        4        -99      -99      -99      
100-hr fuel (%)       -99      7        5        4        3        2        3        4        -99      -99      -99      
1000-hr fuel (%)      -99      8        7        7        7        6        6        6        -99      -99      -99      


*SA04               120323  33.200  -101.340 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      55       58       28       23       64       81       70       -99      -99      -99      
Min Temp (F)          -99      53       56       67       67       67       67       67       -99      -99      -99      
Min RH (%)            -99      0        6        4        4        5        21       23       -99      -99      -99      
Max Temp (F)          -99      97       104      101      101      98       96       97       -99      -99      -99      
WSpd (knt)            -99      12       16       19       18       17       19       18       -99      -99      -99      
BI                    -99      96       115      135      128      106      110      112      -99      -99      -99      
ERC                   -99      82       88       91       93       92       88       90       -99      -99      -99      
IC                    -99      87       100      100      100      70       58       72       -99      -99      -99      
10-hr fuel (%)        -99      2        1        1        2        3        5        4        -99      -99      -99      
100-hr fuel (%)       -99      7        5        4        3        2        3        3        -99      -99      -99      
1000-hr fuel (%)      -99      8        7        7        7        6        6        6        -99      -99      -99      


*SA04               126303  33.640  -102.790 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      35       25       16       20       32       90       81       -99      -99      -99      
Min Temp (F)          -99      49       53       59       60       58       59       59       -99      -99      -99      
Min RH (%)            -99      0        6        3        3        5        10       21       -99      -99      -99      
Max Temp (F)          -99      92       98       96       95       96       94       92       -99      -99      -99      
WSpd (knt)            -99      12       17       19       18       16       20       17       -99      -99      -99      
BI                    -99      97       119      137      129      115      119      108      -99      -99      -99      
ERC                   -99      83       88       92       94       96       91       92       -99      -99      -99      
IC                    -99      88       100      100      100      98       70       71       -99      -99      -99      
10-hr fuel (%)        -99      2        2        1        1        2        4        3        -99      -99      -99      
100-hr fuel (%)       -99      7        5        3        3        2        3        3        -99      -99      -99      
1000-hr fuel (%)      -99      8        7        7        7        6        6        6        -99      -99      -99      


*SA04               126314  33.640  -101.990 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      45       47       17       20       45       87       75       -99      -99      -99      
Min Temp (F)          -99      49       53       62       63       62       62       62       -99      -99      -99      
Min RH (%)            -99      0        7        4        4        5        14       25       -99      -99      -99      
Max Temp (F)          -99      94       101      98       97       97       94       93       -99      -99      -99      
WSpd (knt)            -99      10       17       20       19       17       21       20       -99      -99      -99      
BI                    -99      84       122      144      136      115      119      121      -99      -99      -99      
ERC                   -99      87       92       96       98       98       93       93       -99      -99      -99      
IC                    -99      73       100      100      100      88       66       70       -99      -99      -99      
10-hr fuel (%)        -99      2        1        1        1        2        4        4        -99      -99      -99      
100-hr fuel (%)       -99      6        4        3        3        2        3        3        -99      -99      -99      
1000-hr fuel (%)      -99      7        6        6        6        6        6        5        -99      -99      -99      


*SA04               126323  33.640  -101.340 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      64       70       18       22       54       84       73       -99      -99      -99      
Min Temp (F)          -99      50       55       64       64       64       64       64       -99      -99      -99      
Min RH (%)            -99      0        8        5        5        5        20       24       -99      -99      -99      
Max Temp (F)          -99      92       100      98       97       96       93       93       -99      -99      -99      
WSpd (knt)            -99      9        16       19       19       19       21       20       -99      -99      -99      
BI                    -99      75       113      134      132      119      114      118      -99      -99      -99      
ERC                   -99      80       86       90       93       91       88       89       -99      -99      -99      
IC                    -99      67       100      100      100      79       60       68       -99      -99      -99      
10-hr fuel (%)        -99      3        2        1        2        3        5        4        -99      -99      -99      
100-hr fuel (%)       -99      7        5        4        3        3        3        4        -99      -99      -99      
1000-hr fuel (%)      -99      8        7        7        7        7        6        6        -99      -99      -99      


*SA04               132303  34.070  -102.790 20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      41       33       19       22       31       90       78       -99      -99      -99      
Min Temp (F)          -99      48       51       58       59       57       58       59       -99      -99      -99      
